Id,judgingRuleId,judgingRuleName,criteriaName,criteriaDescription,subCriteriaName,subCriteriaDescription,subCriteriaValueType,subCriteriaRangeFrom,subCriteriaRangeTo,criteriaUiLayout,subCriteriaUiPosition
11111111-0000-0000-0000-000000000013,11111111-0000-0000-0000-000000000006,teamFreestyleSingleRopePairErso,variation,variation,gymnastics,gymnastics,integer,0,3,3x3,2
11111111-0000-0000-0000-000000000013,11111111-0000-0000-0000-000000000006,teamFreestyleSingleRopePairErso,variation,variation,powers,powers,integer,0,3,3x3,5
11111111-0000-0000-0000-000000000013,11111111-0000-0000-0000-000000000006,teamFreestyleSingleRopePairErso,variation,variation,releases,releases,integer,0,2,3x3,3
11111111-0000-0000-0000-000000000013,11111111-0000-0000-0000-000000000006,teamFreestyleSingleRopePairErso,variation,variation,wraps,wraps,integer,0,2,3x3,6
11111111-0000-0000-0000-000000000013,11111111-0000-0000-0000-000000000006,teamFreestyleSingleRopePairErso,variation,variation,pairInteractions,pairInteractions,integer,0,4,3x3,9
11111111-0000-0000-0000-000000000014,11111111-0000-0000-0000-000000000006,teamFreestyleSingleRopePairErso,presentation,presentation,imRichtigenRhythmus,imRichtigenRhythmus,integer,0,100,3x3,1
11111111-0000-0000-0000-000000000014,11111111-0000-0000-0000-000000000006,teamFreestyleSingleRopePairErso,presentation,presentation,gebrauchDerMusikakzente,gebrauchDerMusikakzente,integer,0,20,3x3,4
11111111-0000-0000-0000-000000000014,11111111-0000-0000-0000-000000000006,teamFreestyleSingleRopePairErso,presentation,presentation,ausführungDerSprünge,ausführungDerSprünge,integer,0,20,3x3,7
11111111-0000-0000-0000-000000000014,11111111-0000-0000-0000-000000000006,teamFreestyleSingleRopePairErso,presentation,presentation,originellesUndSpektakuläres,originellesUndSpektakuläres,integer,0,10,3x3,2
11111111-0000-0000-0000-000000000014,11111111-0000-0000-0000-000000000006,teamFreestyleSingleRopePairErso,presentation,presentation,bewegung,bewegung,integer,0,100,3x3,5
